,human-readable,lasso-AIC-coefs,lasso-BIC-coefs,lasso-CV-coefs
COxG23RxG6,130,0.09533221223128434,0.06335012053583625,0.08560841632928878
CLxG7xG9,119,0.09794893101348796,0.09821074873266983,0.09831194968391538
COxG1xG23R,121,0.10211581530705706,0.04086877232524921,0.07974246025839572
CLxG6xG9,117,0.1023021305846992,0.0788854392379935,0.0948540806327102
CExG4xG8,81,0.1280273319216671,0.10614861186557945,0.12042563338466242
COxG1xG4,122,0.1285920862582115,0.1024040515928187,0.11830214996740761
G1xG23R,10,0.147609207544468,0.14402949857270522,0.15008261481309113
CExG23RxG7,75,0.19426069037917176,0.17757823536069342,0.18824716796660762
CExG1,41,0.20284901704313707,0.15156735241232736,0.18811876046652032
COxG5,60,0.23740509668429924,0.16616789298723447,0.21558021996323987
CLxG8,55,0.23762122605978003,0.17163756528710675,0.2081967674094084
COxG6xG8,144,0.243712357493615,0.25606480137904725,0.24791630309876286
CL,39,0.25595996001307436,0.15817595428927445,0.232472959228095
COxG4,59,0.2592078331833459,0.18362530111198144,0.23458261504364314
COxG8,63,0.27290275473707215,0.18238474995798581,0.24326802469492512
CExG6xG7,87,0.3073595930048101,0.25169451024062056,0.2883196863113591
G6xG9,34,0.3111060438644155,0.30873964977682783,0.31055034742605825
CLxG6xG7,115,0.33234738071145725,0.2837650102184929,0.31645185854917307
COxG7,62,0.4018381344122487,0.29852825283742895,0.3655823055384021
CExG6xG8,88,0.42785657927744575,0.3997203423010835,0.4182296003344604
G23R,3,0.5542990224005895,0.5497726441857113,0.5502974620321195
CExG23R,42,0.6948411103825073,0.6919659588370318,0.7015613588020116
G6xG7,32,0.7912095031579598,0.8269439245698333,0.8034120277918108
CLxG23R,50,1.0480324385346558,1.0040848879825155,1.023019160838853
G6xG8,33,1.14678657308783,1.133454510424765,1.142710108288864
